employee_id,Department,JobRole,Gender,Age,Education,BusinessTravel,YearsAtCompany,JobLevel,MonthlyIncome,orientation_completed,training_completion_percent,onboarding_days,onboarding_status,manager_assigned,buddy_assigned,first_week_checkin,onboarding_completion_date,total_tickets,high_priority_tickets,avg_resolution_hours,early_tool_actions,early_unique_tools,early_login_count,early_active_minutes
491,Research & Development,Healthcare Representative,Male,50,3,Travel_Rarely,4,3,10496,Yes,95.2,16,Completed,Yes,Yes,Yes,2022-08-11,0.0,0.0,,6,5,75,1636
492,Sales,Sales Executive,Male,40,2,Travel_Rarely,6,2,6380,Yes,82.0,7,Completed,Yes,Yes,Yes,2020-06-14,1.0,0.0,2.8,2,2,17,269
493,Research & Development,Research Scientist,Male,31,4,Travel_Rarely,2,1,2657,Yes,86.0,5,Completed,Yes,Yes,Yes,2024-06-22,1.0,0.0,3.0,6,6,46,983
494,Sales,Sales Representative,Female,21,3,Travel_Rarely,1,1,2716,Yes,81.1,10,Completed,Yes,Yes,Yes,2026-01-31,0.0,0.0,,4,2,50,816
495,Research & Development,Research Scientist,Male,29,3,Travel_Rarely,3,1,2201,Yes,88.6,8,Completed,Yes,Yes,Yes,2023-07-17,2.0,0.0,8.8,5,4,40,781
496,Research & Development,Healthcare Representative,Male,35,4,Travel_Rarely,1,2,6540,Yes,93.6,7,Completed,Yes,Yes,Yes,2025-09-26,3.0,0.0,5.3999999999999995,1,1,1,40
497,Research & Development,Laboratory Technician,Male,27,2,Travel_Rarely,5,1,3816,Yes,83.5,14,Completed,Yes,Yes,Yes,2021-08-05,0.0,0.0,,8,5,93,1424
498,Sales,Sales Executive,Male,28,4,Travel_Rarely,7,2,5253,Yes,87.7,15,Completed,Yes,Yes,Yes,2019-06-23,1.0,0.0,2.5,2,1,14,301
499,Research & Development,Healthcare Representative,Male,49,3,Travel_Rarely,5,3,10965,Yes,90.0,14,Completed,Yes,Yes,Yes,2021-07-31,0.0,0.0,,5,5,57,536
500,Sales,Sales Executive,Female,51,2,Travel_Rarely,7,2,4936,Yes,84.6,15,Completed,Yes,Yes,Yes,2019-08-08,1.0,0.0,7.3,1,1,10,339
501,Research & Development,Research Scientist,Female,36,3,Travel_Rarely,2,1,2543,Yes,89.2,15,Completed,Yes,Yes,Yes,2024-07-30,0.0,0.0,,3,3,33,368
502,Sales,Sales Executive,Male,34,3,Non-Travel,5,2,5304,Yes,98.0,12,Completed,Yes,Yes,Yes,2021-08-13,1.0,1.0,21.8,3,3,25,516
505,Research & Development,Manager,Female,55,3,Travel_Rarely,5,4,16659,Yes,85.8,13,Completed,Yes,Yes,Yes,2021-06-18,0.0,0.0,,5,5,55,932
507,Sales,Sales Executive,Female,24,4,Travel_Rarely,5,2,4260,Yes,81.5,10,Completed,Yes,Yes,Yes,2021-08-01,0.0,0.0,,4,2,43,970
508,Sales,Sales Representative,Male,30,1,Travel_Rarely,1,1,2476,Yes,99.2,16,Completed,Yes,Yes,Yes,2025-09-20,2.0,1.0,19.200000000000003,3,3,38,414
510,Research & Development,Research Scientist,Male,26,1,Travel_Frequently,6,1,3102,Yes,89.1,9,Completed,Yes,Yes,Yes,2020-07-25,1.0,1.0,32.9,3,3,32,673
511,Research & Development,Research Scientist,Female,22,3,Travel_Rarely,2,1,2244,Yes,100.0,18,Completed,Yes,Yes,Yes,2024-08-06,1.0,0.0,6.5,3,3,23,662
513,Sales,Sales Executive,Male,36,2,Travel_Rarely,10,3,7596,Yes,82.1,11,Completed,Yes,Yes,Yes,2016-08-13,1.0,0.0,9.3,7,6,105,1399
514,Research & Development,Research Scientist,Male,30,3,Travel_Frequently,1,1,2285,Yes,85.9,16,Completed,Yes,Yes,Yes,2025-09-24,0.0,0.0,,3,3,16,698
515,Research & Development,Laboratory Technician,Female,37,3,Travel_Rarely,18,1,3034,Yes,80.4,18,Completed,Yes,Yes,Yes,2016-08-20,1.0,1.0,14.9,4,3,41,763
516,Sales,Sales Executive,Female,40,2,Travel_Rarely,5,2,5715,Yes,87.9,5,Completed,Yes,Yes,Yes,2021-06-25,2.0,0.0,7.1,5,5,51,941
517,Research & Development,Laboratory Technician,Female,42,4,Travel_Rarely,5,1,2576,Yes,97.3,17,Completed,Yes,Yes,Yes,2021-07-13,0.0,0.0,,3,3,17,630
518,Research & Development,Manufacturing Director,Male,37,4,Travel_Rarely,1,2,4197,No,71.0,22,In Progress,Yes,No,No,,0.0,0.0,,6,5,56,784
520,Research & Development,Research Director,Male,43,3,Travel_Rarely,25,4,14336,Yes,96.0,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,6,5,59,1165
521,Research & Development,Laboratory Technician,Female,40,3,Travel_Rarely,1,2,3448,Yes,85.0,17,Completed,Yes,Yes,Yes,2025-09-09,3.0,1.0,10.700000000000001,4,4,11,188
522,Research & Development,Research Director,Male,54,2,Travel_Rarely,4,5,19406,Yes,95.3,15,Completed,Yes,Yes,Yes,2022-07-01,0.0,0.0,,7,6,84,1234
523,Sales,Sales Executive,Female,34,4,Non-Travel,3,2,6538,Yes,82.7,6,Completed,Yes,Yes,Yes,2023-06-15,1.0,1.0,10.5,6,6,57,1367
524,Research & Development,Manufacturing Director,Female,31,2,Travel_Rarely,13,2,4306,Yes,92.5,5,Completed,Yes,Yes,Yes,2016-08-07,0.0,0.0,,6,4,61,1471
525,Research & Development,Laboratory Technician,Male,43,3,Travel_Frequently,3,1,2258,Yes,95.8,5,Completed,Yes,Yes,Yes,2023-07-18,1.0,0.0,3.0,6,5,75,1257
526,Research & Development,Healthcare Representative,Female,43,4,Travel_Rarely,5,2,4522,Yes,87.3,7,Completed,Yes,Yes,Yes,2021-07-02,0.0,0.0,,2,2,14,196
527,Sales,Sales Executive,Female,25,2,Travel_Rarely,5,2,4487,Yes,98.2,10,Completed,Yes,Yes,Yes,2021-08-06,1.0,0.0,4.4,5,5,59,473
529,Research & Development,Research Scientist,Female,37,5,Non-Travel,13,2,4449,Yes,88.3,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,2,2,15,232
530,Research & Development,Laboratory Technician,Male,31,2,Travel_Rarely,4,1,2218,Yes,95.7,10,Completed,Yes,Yes,Yes,2022-08-03,0.0,0.0,,3,3,25,509
531,Research & Development,Manager,Male,39,1,Travel_Frequently,21,5,19197,Yes,90.0,9,Completed,Yes,Yes,Yes,2016-08-11,0.0,0.0,,3,3,41,576
532,Sales,Sales Executive,Female,56,3,Travel_Frequently,7,4,13212,Yes,83.3,18,Completed,Yes,Yes,Yes,2019-06-28,2.0,0.0,2.05,3,3,26,637
533,Sales,Sales Executive,Female,30,3,Travel_Rarely,5,2,6577,Yes,89.6,17,Completed,Yes,Yes,Yes,2021-06-19,0.0,0.0,,3,3,31,624
534,Sales,Sales Executive,Male,41,3,Travel_Rarely,10,3,8392,Yes,94.9,10,Completed,Yes,Yes,Yes,2016-08-12,0.0,0.0,,5,3,54,789
536,Research & Development,Laboratory Technician,Male,28,2,Travel_Rarely,10,2,4558,Yes,82.3,6,Completed,Yes,Yes,Yes,2016-08-08,2.0,0.0,4.2,2,1,20,466
538,Research & Development,Laboratory Technician,Male,25,3,Travel_Rarely,2,1,4031,Yes,95.1,8,Completed,Yes,Yes,Yes,2024-07-30,0.0,0.0,,3,3,31,343
543,Research & Development,Manufacturing Director,Male,52,3,Travel_Rarely,5,3,7969,Yes,93.5,15,Completed,Yes,Yes,Yes,2021-06-22,0.0,0.0,,5,4,63,983
544,Research & Development,Research Scientist,Male,45,2,Travel_Rarely,2,1,2654,Yes,99.3,17,Completed,Yes,Yes,Yes,2024-07-23,0.0,0.0,,1,1,18,261
546,Research & Development,Manager,Female,52,2,Travel_Rarely,5,4,16555,Yes,87.3,17,Completed,Yes,Yes,Yes,2021-07-14,0.0,0.0,,2,2,20,583
547,Research & Development,Research Scientist,Female,42,2,Travel_Frequently,5,2,4556,Yes,80.3,13,Completed,Yes,Yes,Yes,2021-07-20,0.0,0.0,,5,5,63,1438
548,Research & Development,Manufacturing Director,Female,30,3,Travel_Rarely,5,2,6091,Yes,89.1,15,Completed,Yes,Yes,Yes,2021-08-09,0.0,0.0,,3,2,20,576
549,Research & Development,Manager,Female,60,3,Travel_Rarely,29,5,19566,Yes,93.4,14,Completed,Yes,Yes,Yes,2016-08-16,0.0,0.0,,4,4,47,540
550,Research & Development,Manufacturing Director,Female,46,3,Travel_Rarely,10,2,4810,Yes,96.4,10,Completed,Yes,Yes,Yes,2016-08-12,0.0,0.0,,3,3,37,309
551,Research & Development,Healthcare Representative,Female,42,4,Travel_Frequently,6,2,4523,Yes,93.5,12,Completed,Yes,Yes,Yes,2020-08-07,0.0,0.0,,3,3,28,639
554,Sales,Sales Representative,Female,24,1,Travel_Rarely,5,1,3202,Yes,92.4,13,Completed,Yes,Yes,Yes,2021-08-13,0.0,0.0,,8,6,72,1833
555,Sales,Sales Representative,Female,34,2,Travel_Frequently,2,1,2351,Yes,98.3,8,Completed,Yes,Yes,Yes,2024-07-19,1.0,0.0,2.8,2,2,19,395
556,Research & Development,Laboratory Technician,Male,38,2,Travel_Frequently,1,1,1702,Yes,96.5,16,Completed,Yes,Yes,Yes,2025-09-05,3.0,1.0,9.799999999999999,1,1,2,18
558,Sales,Manager,Female,40,4,Travel_Rarely,20,5,18041,Yes,93.0,6,Completed,Yes,Yes,Yes,2016-08-08,0.0,0.0,,6,5,62,1161
560,Research & Development,Research Scientist,Female,26,3,Travel_Rarely,3,1,2886,Yes,80.9,5,Completed,Yes,Yes,Yes,2023-07-29,1.0,1.0,28.5,2,2,26,506
562,Research & Development,Laboratory Technician,Male,30,3,Non-Travel,5,1,2097,Yes,99.9,6,Completed,Yes,Yes,Yes,2021-07-19,0.0,0.0,,5,5,42,1123
564,Research & Development,Research Director,Male,29,4,Travel_Rarely,10,3,11935,Yes,84.7,13,Completed,Yes,Yes,Yes,2016-08-15,0.0,0.0,,4,3,40,653
565,Research & Development,Research Scientist,Female,29,5,Travel_Rarely,2,1,2546,Yes,87.8,10,Completed,Yes,Yes,Yes,2024-08-02,0.0,0.0,,4,4,52,947
566,Human Resources,Human Resources,Male,19,2,Travel_Rarely,1,1,2564,No,75.3,18,In Progress,Yes,No,Yes,,1.0,0.0,1.0,1,1,10,65
567,Sales,Sales Executive,Female,30,4,Non-Travel,9,3,8412,Yes,89.8,11,Completed,Yes,Yes,Yes,2017-06-21,0.0,0.0,,5,5,59,896
568,Sales,Manager,Male,57,3,Travel_Rarely,1,4,14118,Yes,87.4,12,Completed,Yes,Yes,Yes,2025-12-04,1.0,0.0,8.5,4,3,45,1017
569,Research & Development,Manager,Male,50,4,Travel_Rarely,27,4,17046,Yes,99.0,18,Completed,Yes,Yes,Yes,2016-08-20,1.0,1.0,47.2,3,3,21,696
571,Research & Development,Laboratory Technician,Female,30,3,Non-Travel,11,1,2564,Yes,82.0,15,Completed,Yes,Yes,Yes,2016-08-17,2.0,0.0,5.8,5,5,54,1149
573,Sales,Sales Executive,Female,60,3,Travel_Frequently,18,3,10266,Yes,90.9,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,2,2,10,188
574,Research & Development,Manufacturing Director,Female,47,2,Travel_Rarely,5,2,5070,Yes,81.2,9,Completed,Yes,Yes,Yes,2021-07-19,1.0,1.0,14.5,4,3,44,844
575,Research & Development,Research Director,Male,46,3,Travel_Rarely,3,4,17861,Yes,99.4,18,Completed,Yes,Yes,Yes,2023-08-07,0.0,0.0,,4,4,43,929
577,Research & Development,Laboratory Technician,Male,35,3,Travel_Rarely,5,1,4230,Yes,89.1,15,Completed,Yes,Yes,Yes,2021-06-25,0.0,0.0,,3,2,31,663
578,Research & Development,Laboratory Technician,Female,54,4,Travel_Rarely,1,2,3780,Yes,91.9,5,Completed,Yes,Yes,Yes,2025-12-14,1.0,0.0,4.9,5,4,77,996
579,Research & Development,Research Scientist,Male,34,4,Travel_Rarely,7,1,2768,Yes,95.7,8,Completed,Yes,Yes,Yes,2019-08-07,0.0,0.0,,5,5,53,1061
580,Sales,Sales Executive,Female,46,3,Travel_Rarely,3,3,9071,Yes,95.7,8,Completed,Yes,Yes,Yes,2023-08-01,0.0,0.0,,3,3,30,948
581,Research & Development,Manufacturing Director,Male,31,1,Travel_Rarely,13,3,10648,Yes,96.6,13,Completed,Yes,Yes,Yes,2016-08-15,0.0,0.0,,6,6,56,1472
582,Research & Development,Manager,Male,33,1,Travel_Rarely,7,3,13610,Yes,91.7,18,Completed,Yes,Yes,Yes,2019-08-07,1.0,0.0,9.2,2,2,8,587
584,Research & Development,Laboratory Technician,Male,33,1,Travel_Rarely,4,1,3408,Yes,84.7,17,Completed,Yes,Yes,Yes,2022-06-24,0.0,0.0,,6,6,56,1146
585,Sales,Sales Representative,Male,30,1,Travel_Rarely,3,1,2983,Yes,95.8,14,Completed,Yes,Yes,Yes,2023-08-06,0.0,0.0,,3,3,13,822
586,Research & Development,Healthcare Representative,Male,35,3,Travel_Rarely,8,3,7632,Yes,85.5,7,Completed,Yes,Yes,Yes,2018-08-09,0.0,0.0,,4,3,32,955
587,Research & Development,Healthcare Representative,Male,31,3,Travel_Frequently,1,3,9824,Yes,96.0,6,Completed,Yes,Yes,Yes,2026-01-05,2.0,0.0,2.65,2,2,31,353
590,Human Resources,Human Resources,Female,34,3,Travel_Frequently,3,3,9950,Yes,97.3,7,Completed,Yes,Yes,Yes,2023-06-27,0.0,0.0,,3,3,35,496
591,Research & Development,Laboratory Technician,Male,42,2,Travel_Frequently,2,1,2093,Yes,87.2,17,Completed,Yes,Yes,Yes,2024-08-17,0.0,0.0,,3,3,19,660
592,Sales,Sales Executive,Male,36,4,Non-Travel,10,3,9980,Yes,91.8,5,Completed,Yes,Yes,Yes,2016-08-07,0.0,0.0,,4,3,46,586
593,Research & Development,Laboratory Technician,Male,22,1,Travel_Frequently,2,1,3894,Yes,85.3,7,Completed,Yes,Yes,Yes,2024-07-27,0.0,0.0,,8,8,113,1442
595,Sales,Sales Executive,Female,48,5,Travel_Rarely,9,2,4051,Yes,88.4,6,Completed,Yes,Yes,Yes,2017-06-22,0.0,0.0,,5,4,44,1287
597,Sales,Manager,Female,55,5,Travel_Rarely,10,4,16835,Yes,81.3,12,Completed,Yes,Yes,Yes,2016-08-14,1.0,1.0,20.9,5,4,30,1223
599,Sales,Sales Executive,Male,41,2,Non-Travel,14,2,6230,Yes,87.2,14,Completed,Yes,Yes,Yes,2016-08-16,1.0,0.0,3.0,3,3,34,543
600,Sales,Sales Executive,Male,35,3,Travel_Rarely,11,2,4717,Yes,89.0,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,3,3,36,629
601,Research & Development,Manufacturing Director,Female,40,3,Travel_Rarely,20,4,13237,Yes,92.3,16,Completed,Yes,Yes,Yes,2016-08-18,0.0,0.0,,3,3,18,609
602,Research & Development,Laboratory Technician,Female,39,1,Travel_Frequently,8,1,3755,Yes,98.2,15,Completed,Yes,Yes,Yes,2018-06-28,1.0,0.0,1.0,4,4,33,396
604,Sales,Sales Executive,Male,31,1,Travel_Rarely,6,2,6582,Yes,86.0,15,Completed,Yes,Yes,Yes,2020-07-14,0.0,0.0,,2,2,33,239
605,Research & Development,Manufacturing Director,Male,42,3,Travel_Rarely,10,3,7406,Yes,81.2,12,Completed,Yes,Yes,Yes,2016-08-14,0.0,0.0,,2,2,18,391
606,Sales,Sales Executive,Male,45,3,Travel_Rarely,8,2,4805,Yes,88.0,15,Completed,Yes,Yes,Yes,2018-06-24,0.0,0.0,,5,4,43,826
608,Human Resources,Human Resources,Female,26,4,Travel_Frequently,7,1,2741,Yes,89.8,12,Completed,Yes,Yes,Yes,2019-08-08,0.0,0.0,,8,7,101,1899
611,Research & Development,Manufacturing Director,Male,29,3,Travel_Rarely,3,2,4262,Yes,98.0,10,Completed,Yes,Yes,Yes,2023-08-07,0.0,0.0,,2,2,26,184
612,Research & Development,Research Director,Female,33,5,Travel_Rarely,6,4,16184,Yes,83.0,7,Completed,Yes,Yes,Yes,2020-07-01,0.0,0.0,,3,3,19,637
613,Sales,Manager,Male,31,3,Travel_Rarely,5,3,11557,Yes,92.5,14,Completed,Yes,Yes,Yes,2021-07-29,0.0,0.0,,7,6,62,1040
614,Sales,Sales Representative,Male,18,3,Travel_Frequently,0,1,1878,Yes,58.1,28,In Progress,Yes,No,Yes,,2.0,2.0,23.15,6,6,75,992
615,Sales,Sales Executive,Male,40,3,Non-Travel,1,3,10932,Yes,82.3,15,Completed,Yes,Yes,Yes,2026-01-22,1.0,0.0,1.8,3,3,32,630
616,Research & Development,Healthcare Representative,Female,41,4,Non-Travel,8,2,6811,Yes,97.6,13,Completed,Yes,Yes,Yes,2018-07-05,0.0,0.0,,4,4,46,985
618,Sales,Sales Executive,Male,26,2,Travel_Rarely,0,2,4306,Yes,97.8,11,Completed,Yes,Yes,Yes,2026-06-07,0.0,0.0,,4,4,35,1082
620,Sales,Sales Executive,Female,35,3,Travel_Rarely,5,2,4859,Yes,96.5,11,Completed,Yes,Yes,Yes,2021-07-22,0.0,0.0,,2,2,20,354
621,Sales,Sales Executive,Male,34,4,Travel_Rarely,10,2,5337,Yes,94.6,10,Completed,Yes,Yes,Yes,2016-08-12,1.0,0.0,1.7,7,6,64,1215
622,Research & Development,Laboratory Technician,Male,26,3,Travel_Rarely,1,1,2340,Yes,85.1,7,Completed,Yes,Yes,Yes,2025-10-22,3.0,2.0,16.2,2,2,4,154
623,Research & Development,Manufacturing Director,Female,37,3,Travel_Rarely,6,3,7491,Yes,98.5,6,Completed,Yes,Yes,Yes,2020-06-25,0.0,0.0,,6,5,68,1071
624,Research & Development,Healthcare Representative,Female,46,1,Travel_Frequently,2,3,10527,Yes,96.6,6,Completed,Yes,Yes,Yes,2024-08-01,1.0,0.0,3.6,5,5,55,1158
625,Sales,Manager,Female,41,5,Travel_Rarely,18,4,16595,Yes,81.9,16,Completed,Yes,Yes,Yes,2016-08-18,1.0,0.0,3.2,7,6,75,1487
626,Sales,Sales Executive,Male,37,4,Non-Travel,9,3,8834,Yes,96.2,13,Completed,Yes,Yes,Yes,2017-07-23,0.0,0.0,,4,4,40,566
630,Research & Development,Research Scientist,Male,52,2,Travel_Rarely,10,2,5577,Yes,91.7,13,Completed,Yes,Yes,Yes,2016-08-15,0.0,0.0,,4,3,59,797
631,Sales,Sales Executive,Male,32,4,Non-Travel,4,2,4707,Yes,86.6,6,Completed,Yes,Yes,Yes,2022-07-03,0.0,0.0,,7,6,97,907
632,Sales,Sales Representative,Male,24,3,Travel_Frequently,2,1,2400,Yes,87.1,15,Completed,Yes,Yes,Yes,2024-07-20,0.0,0.0,,3,3,30,642
634,Research & Development,Healthcare Representative,Female,38,3,Travel_Rarely,1,2,9824,No,64.0,26,In Progress,Yes,Yes,No,,2.0,0.0,3.0,3,3,26,988
635,Research & Development,Manufacturing Director,Female,37,4,Travel_Rarely,6,2,6447,Yes,91.6,8,Completed,Yes,Yes,Yes,2020-08-03,0.0,0.0,,5,4,47,988
638,Research & Development,Research Director,Male,49,4,Travel_Rarely,31,5,19502,Yes,93.1,8,Completed,Yes,Yes,Yes,2016-08-10,0.0,0.0,,6,4,82,1390
639,Research & Development,Research Scientist,Male,24,3,Travel_Rarely,6,1,2725,Yes,82.2,18,Completed,Yes,Yes,Yes,2020-06-26,1.0,0.0,0.7,5,5,45,1290
641,Sales,Sales Executive,Male,26,2,Travel_Rarely,5,2,6272,Yes,87.4,17,Completed,Yes,Yes,Yes,2021-07-14,0.0,0.0,,2,2,20,478
643,Research & Development,Laboratory Technician,Male,24,2,Travel_Rarely,1,1,2127,Yes,96.1,18,Completed,Yes,Yes,Yes,2025-12-10,1.0,0.0,9.1,2,2,24,311
644,Human Resources,Manager,Male,50,3,Travel_Frequently,32,5,18200,Yes,99.5,18,Completed,Yes,Yes,Yes,2016-08-20,0.0,0.0,,3,2,35,726
645,Sales,Sales Representative,Male,25,1,Travel_Rarely,7,1,2096,Yes,92.3,15,Completed,Yes,Yes,Yes,2019-07-09,0.0,0.0,,1,1,12,196
647,Research & Development,Laboratory Technician,Female,24,3,Travel_Frequently,6,1,2886,Yes,80.5,15,Completed,Yes,Yes,Yes,2020-07-12,0.0,0.0,,4,4,43,690
648,Sales,Sales Representative,Male,30,4,Travel_Frequently,1,1,2033,Yes,83.6,16,Completed,Yes,Yes,Yes,2025-08-24,2.0,2.0,27.8,3,3,25,534
649,Research & Development,Research Scientist,Male,34,2,Travel_Rarely,6,1,3622,Yes,86.2,10,Completed,Yes,Yes,Yes,2020-06-24,0.0,0.0,,3,3,29,754
650,Sales,Sales Executive,Male,31,4,Travel_Rarely,3,2,4233,Yes,80.1,18,Completed,Yes,Yes,Yes,2023-07-28,2.0,0.0,2.7,3,3,32,639
652,Research & Development,Laboratory Technician,Male,35,2,Travel_Rarely,3,2,3681,Yes,91.3,11,Completed,Yes,Yes,Yes,2023-08-03,1.0,1.0,30.9,3,3,19,607
653,Sales,Sales Executive,Male,31,4,Travel_Rarely,7,2,5460,Yes,82.8,15,Completed,Yes,Yes,Yes,2019-08-13,0.0,0.0,,2,2,27,239
655,Research & Development,Research Scientist,Female,27,4,Travel_Rarely,5,1,2187,Yes,81.8,13,Completed,Yes,Yes,Yes,2021-08-13,0.0,0.0,,4,4,42,834
656,Sales,Sales Executive,Male,37,3,Travel_Rarely,3,2,9602,Yes,87.5,12,Completed,Yes,Yes,Yes,2023-07-31,0.0,0.0,,8,6,76,1702
657,Research & Development,Research Scientist,Female,20,3,Travel_Rarely,1,1,2836,Yes,86.2,10,Completed,Yes,Yes,Yes,2025-11-16,3.0,0.0,2.9,1,1,3,69
659,Research & Development,Healthcare Representative,Female,42,4,Travel_Rarely,10,2,4089,Yes,98.8,14,Completed,Yes,Yes,Yes,2016-08-16,1.0,0.0,10.1,5,5,61,1042
661,Research & Development,Research Director,Male,43,4,Travel_Rarely,1,4,16627,Yes,70.1,16,In Progress,Yes,Yes,Yes,,1.0,0.0,7.9,2,2,13,161
662,Research & Development,Research Scientist,Female,38,1,Travel_Rarely,0,1,2619,Yes,93.2,12,Completed,Yes,Yes,Yes,2026-07-13,1.0,1.0,24.5,2,2,14,363
663,Research & Development,Laboratory Technician,Male,43,5,Travel_Frequently,8,2,5679,Yes,88.8,9,Completed,Yes,Yes,Yes,2018-07-04,0.0,0.0,,7,7,88,1705
664,Research & Development,Manager,Female,48,4,Travel_Rarely,3,4,15402,Yes,95.1,6,Completed,Yes,Yes,Yes,2023-07-25,1.0,0.0,2.8,5,3,69,1270
665,Human Resources,Human Resources,Female,44,4,Travel_Rarely,2,2,5985,Yes,88.6,9,Completed,Yes,Yes,Yes,2024-07-18,1.0,0.0,2.6,1,1,13,115
666,Sales,Sales Representative,Female,34,3,Travel_Rarely,8,1,2579,Yes,93.6,12,Completed,Yes,Yes,Yes,2018-07-02,0.0,0.0,,3,3,27,650
667,Sales,Sales Representative,Male,27,1,Travel_Rarely,4,1,3041,Yes,93.3,5,Completed,Yes,Yes,Yes,2022-07-04,0.0,0.0,,7,5,62,1730
669,Sales,Sales Representative,Male,21,1,Travel_Rarely,3,1,3447,Yes,87.9,14,Completed,Yes,Yes,Yes,2023-08-01,0.0,0.0,,3,3,38,726
671,Research & Development,Manager,Male,44,4,Travel_Rarely,2,5,19513,Yes,80.2,9,Completed,Yes,Yes,Yes,2024-08-06,0.0,0.0,,6,5,64,1044
675,Research & Development,Research Scientist,Male,22,1,Travel_Rarely,2,1,2773,Yes,84.2,7,Completed,Yes,Yes,Yes,2024-06-08,1.0,1.0,18.6,4,4,18,807
677,Sales,Sales Executive,Male,33,4,Travel_Rarely,5,2,7104,Yes,85.1,10,Completed,Yes,Yes,Yes,2021-06-24,1.0,1.0,32.8,1,1,18,331
679,Research & Development,Research Scientist,Female,32,4,Travel_Rarely,6,2,6322,Yes,80.2,16,Completed,Yes,Yes,Yes,2020-08-10,1.0,0.0,7.1,3,3,37,418
680,Research & Development,Research Scientist,Female,30,3,Travel_Frequently,1,1,2083,Yes,87.6,16,Completed,Yes,Yes,Yes,2025-10-30,2.0,0.0,3.7,2,2,17,222
682,Sales,Sales Executive,Female,53,1,Travel_Rarely,14,2,8381,Yes,90.0,18,Completed,Yes,Yes,Yes,2016-08-20,2.0,1.0,9.1,2,2,19,581
683,Research & Development,Research Scientist,Male,34,5,Travel_Rarely,10,1,2691,Yes,96.1,6,Completed,Yes,Yes,Yes,2016-08-08,2.0,1.0,3.95,1,1,3,239
684,Sales,Sales Executive,Female,45,4,Travel_Frequently,1,2,4286,Yes,40.7,17,In Progress,Yes,No,Yes,,1.0,0.0,2.4,1,1,3,13
686,Research & Development,Laboratory Technician,Female,26,3,Travel_Rarely,3,1,2659,Yes,86.3,11,Completed,Yes,Yes,Yes,2023-06-18,0.0,0.0,,5,5,62,1211
689,Research & Development,Manufacturing Director,Male,37,3,Travel_Rarely,10,3,9434,Yes,88.1,15,Completed,Yes,Yes,Yes,2016-08-17,0.0,0.0,,3,3,36,592
690,Sales,Sales Executive,Female,29,2,Travel_Rarely,6,2,5561,Yes,85.8,11,Completed,Yes,Yes,Yes,2020-07-17,0.0,0.0,,2,2,11,396
691,Research & Development,Research Scientist,Male,35,4,Travel_Rarely,17,2,6646,Yes,99.3,7,Completed,Yes,Yes,Yes,2016-08-09,1.0,0.0,4.0,7,6,50,1853
692,Research & Development,Healthcare Representative,Male,33,3,Travel_Frequently,13,2,7725,Yes,99.0,12,Completed,Yes,Yes,Yes,2016-08-14,0.0,0.0,,7,6,100,1432
698,Human Resources,Human Resources,Male,54,4,Travel_Rarely,9,3,10725,Yes,93.8,10,Completed,Yes,Yes,Yes,2017-06-20,0.0,0.0,,4,4,46,1067
699,Research & Development,Manufacturing Director,Male,36,2,Travel_Rarely,3,2,8847,Yes,88.7,6,Completed,Yes,Yes,Yes,2023-08-02,0.0,0.0,,2,2,17,491
700,Research & Development,Research Scientist,Male,27,4,Travel_Rarely,4,1,2045,Yes,88.7,11,Completed,Yes,Yes,Yes,2022-07-28,1.0,1.0,30.5,4,4,50,1139
701,Research & Development,Research Scientist,Male,20,1,Travel_Rarely,1,1,1009,Yes,97.4,16,Completed,Yes,Yes,Yes,2025-10-06,3.0,1.0,12.1,2,2,6,137
702,Research & Development,Research Scientist,Male,33,3,Travel_Frequently,10,1,3348,Yes,84.4,17,Completed,Yes,Yes,Yes,2016-08-19,1.0,0.0,5.4,4,4,36,632
704,Research & Development,Laboratory Technician,Male,35,3,Non-Travel,1,1,1281,Yes,92.7,13,Completed,Yes,Yes,Yes,2026-01-02,2.0,0.0,6.2,2,2,14,395
705,Research & Development,Research Scientist,Male,23,3,Travel_Rarely,3,1,2819,Yes,83.9,17,Completed,Yes,Yes,Yes,2023-07-17,2.0,0.0,6.699999999999999,2,2,25,127
707,Sales,Sales Executive,Male,25,3,Travel_Rarely,3,2,4851,Yes,87.0,18,Completed,Yes,Yes,Yes,2023-07-28,0.0,0.0,,3,3,22,724
709,Sales,Sales Executive,Female,38,4,Travel_Rarely,7,2,4028,Yes,96.3,8,Completed,Yes,Yes,Yes,2019-06-30,0.0,0.0,,4,4,48,599
710,Research & Development,Research Scientist,Male,29,4,Travel_Frequently,10,1,2720,Yes,82.9,8,Completed,Yes,Yes,Yes,2016-08-10,1.0,0.0,1.7,5,5,53,1194
712,Sales,Sales Executive,Male,48,1,Travel_Rarely,2,2,8120,Yes,92.0,17,Completed,Yes,Yes,Yes,2024-08-06,0.0,0.0,,4,4,36,928
714,Sales,Sales Executive,Female,27,1,Travel_Frequently,6,2,4647,Yes,93.1,7,Completed,Yes,Yes,Yes,2020-06-21,0.0,0.0,,4,3,38,687
